port,latitude,latgr,latmn,latsec,ns,longitude,longr,lonmn,lonsec,ew
victoria," 04°37'21"" S",4,37,21, S,"55°27'41"" E",55,27,41, E
mombasa,"04°04'01"" S",4,4,1, S,"39°40'55"" E",39,40,55, E
diego suarez,"12°16'24"" S",12,16,24, S,"49°17'12"" E",49,17,12, E
dubai,25°15'51  N,25,15,51,N,"55°16'38"" E",55,16,38,E
maurice,"20°08'54"" S",20,8,54,S,"57°29'21"" E",57,29,21,E
reunion,"20°56'10"" S",20,56,10,S,"55°16'55"" E",55,16,55,E
colombo,"06°57'46""N",6,57,46,N,"79°51'29""E",79,51,29,E
djibouti,"11°36'15""N",11,36,15,N,"43°08'18""E",43,8,18,E
